ds,y
2021-11-30,96.7741935483871
2021-12-31,98.89502762430939
2022-01-31,98.89502762430939
2022-02-28,98.35164835164835
2022-03-31,98.88888888888889
2022-04-30,97.76536312849163
2022-05-31,98.36956521739131
2022-06-30,98.36956521739131
2022-07-31,94.68085106382979
2022-08-31,97.77832158120574
2022-09-30,92.45283018867924
2022-10-31,98.17905918057663
2022-11-30,98.80686055182699
2022-12-31,99.22367782629792
2023-01-31,99.0721649484536
2023-02-28,98.87703537338574
2023-03-31,99.23166472642608
2023-04-30,99.09021986353298
2023-05-31,98.86382080831034
2023-06-30,99.3159469858914
2023-07-31,99.46510443199185
2023-08-31,98.89232968080039
2023-09-30,98.73105393020796
